activity_id,customer_id,activity_date,campaign,channel,engagement_score,converted
M80409,C10129,2026-06-19,Retention Outreach,LinkedIn,68.4,0
M80410,C10337,2026-05-25,Fleet Efficiency Q1,LinkedIn,47.6,0
M80411,C10735,2025-07-25,Analytics Launch,Event,77.3,1
M80412,C10851,2025-10-08,Driver Safety,Event,72.5,0
M80413,C10220,2025-06-07,Driver Safety,LinkedIn,47.5,0
M80414,C10910,2025-01-08,Partner Referral,Webinar,39.1,0
M80415,C10605,2025-06-30,Driver Safety,Webinar,49.0,0
M80416,C10229,2025-02-28,Driver Safety,Webinar,32.6,0
M80417,C10779,2025-07-27,Fleet Efficiency Q1,Event,66.2,0
M80418,C10881,2025-02-01,Retention Outreach,Email,85.7,0
M80419,C10272,2025-07-03,Retention Outreach,Webinar,90.4,0
M80420,C10105,2026-02-19,Retention Outreach,LinkedIn,40.2,0
M80421,C10284,2026-05-05,Driver Safety,Partner,77.7,1
M80422,C10756,2026-05-30,Driver Safety,Webinar,63.7,1
M80423,C10061,2025-11-22,Retention Outreach,Partner,14.1,0
M80424,C10289,2025-11-13,Analytics Launch,Event,55.4,1
M80425,C10319,2026-07-16,Driver Safety,Partner,53.1,0
M80426,C10016,2025-11-19,Fleet Efficiency Q1,Event,86.2,0
M80427,C10597,2025-02-18,Partner Referral,Partner,44.6,0
M80428,C10806,2026-06-27,Partner Referral,Webinar,73.3,0
M80429,C10155,2025-12-23,Fleet Efficiency Q1,Search,59.9,0
M80430,C10886,2026-01-22,Year-End Upgrade,Search,33.1,0
M80431,C10953,2025-02-25,Year-End Upgrade,Search,51.0,0
M80432,C10870,2025-09-30,Year-End Upgrade,Webinar,92.6,1
M80433,C10722,2025-09-24,Year-End Upgrade,Partner,58.5,0
M80434,C10448,2026-04-18,Driver Safety,Search,80.1,0
M80435,C10203,2025-08-10,Year-End Upgrade,Webinar,79.0,0
M80436,C10912,2025-07-18,Retention Outreach,Search,53.0,1
M80437,C10530,2026-01-30,Retention Outreach,Webinar,36.3,0
M80438,C10452,2025-01-10,Fleet Efficiency Q1,Partner,39.0,0
M80439,C10391,2026-03-09,Partner Referral,Search,91.0,0
M80440,C10218,2025-01-05,Analytics Launch,Search,65.0,0
M80441,C10382,2025-05-19,Driver Safety,LinkedIn,27.3,0
M80442,C10798,2025-10-16,Driver Safety,Search,78.7,0
M80443,C10559,2025-04-23,Partner Referral,Search,26.3,0
M80444,C10395,2025-01-21,Year-End Upgrade,Email,45.5,1
M80445,C10108,2025-09-01,Fleet Efficiency Q1,Event,63.6,0
M80446,C10414,2026-02-15,Retention Outreach,Event,100.0,0
M80447,C10215,2025-05-21,Retention Outreach,LinkedIn,78.3,0
M80448,C10397,2025-06-08,Year-End Upgrade,Event,52.4,0
M80449,C10149,2026-01-28,Year-End Upgrade,LinkedIn,62.6,0
M80450,C10947,2026-07-04,Year-End Upgrade,Search,80.4,1
M80451,C10173,2025-10-28,Driver Safety,Email,90.4,0
M80452,C10124,2025-11-21,Fleet Efficiency Q1,Webinar,57.0,0
M80453,C10655,2026-04-25,Driver Safety,Search,57.6,0
M80454,C10343,2025-02-08,Year-End Upgrade,LinkedIn,45.4,0
M80455,C10996,2026-07-24,Fleet Efficiency Q1,LinkedIn,75.3,0
M80456,C10404,2025-10-03,Fleet Efficiency Q1,Event,82.5,0
M80457,C10651,2025-08-08,Retention Outreach,Partner,23.2,0
M80458,C10834,2025-12-25,Retention Outreach,Email,54.1,0
M80459,C10984,2026-06-13,Driver Safety,Email,37.7,0
M80460,C10809,2026-06-28,Analytics Launch,Email,65.0,0
M80461,C10577,2026-03-27,Fleet Efficiency Q1,LinkedIn,37.2,0
M80462,C10814,2025-10-08,Retention Outreach,Partner,35.6,0
M80463,C10283,2025-03-28,Partner Referral,Email,84.5,0
M80464,C10870,2025-04-21,Driver Safety,LinkedIn,58.7,1
M80465,C10872,2026-04-30,Driver Safety,Email,60.8,0
M80466,C10383,2025-03-14,Driver Safety,Webinar,70.6,0
M80467,C10067,2025-10-07,Fleet Efficiency Q1,Partner,81.4,0
M80468,C10684,2025-08-25,Year-End Upgrade,Webinar,53.6,0
M80469,C10102,2026-02-16,Partner Referral,Event,54.1,0
M80470,C10017,2025-07-19,Partner Referral,Partner,54.2,1
M80471,C10947,2026-02-12,Fleet Efficiency Q1,Partner,83.6,0
M80472,C10567,2025-10-22,Year-End Upgrade,LinkedIn,60.6,0
M80473,C10650,2026-05-29,Partner Referral,Event,56.2,0
M80474,C10880,2025-04-19,Retention Outreach,Webinar,69.8,1
M80475,C10928,2026-03-18,Analytics Launch,Email,98.6,0
M80476,C10956,2026-02-23,Partner Referral,Email,63.5,1
M80477,C10132,2026-04-24,Driver Safety,Event,56.6,0
M80478,C10323,2025-10-12,Retention Outreach,LinkedIn,100.0,1
M80479,C10768,2025-07-06,Year-End Upgrade,Search,88.6,0
M80480,C10028,2025-10-27,Partner Referral,Partner,85.7,1
M80481,C10234,2026-07-19,Driver Safety,Partner,52.0,1
M80482,C10514,2025-04-24,Driver Safety,Email,50.0,1
M80483,C10343,2026-01-19,Analytics Launch,Webinar,25.3,1
M80484,C10172,2025-05-11,Analytics Launch,Event,81.3,0
M80485,C10898,2026-03-25,Analytics Launch,Search,63.5,0
M80486,C10447,2025-09-03,Partner Referral,Webinar,26.0,0
M80487,C10411,2026-05-14,Partner Referral,LinkedIn,86.0,0
M80488,C10657,2025-04-05,Driver Safety,Partner,55.3,0
M80489,C10670,2025-03-13,Year-End Upgrade,Email,57.7,0
M80490,C10492,2026-07-06,Fleet Efficiency Q1,Webinar,31.7,0
M80491,C10887,2025-07-15,Partner Referral,Search,71.8,0
M80492,C10295,2025-02-19,Fleet Efficiency Q1,Webinar,72.0,1
M80493,C10870,2026-04-30,Fleet Efficiency Q1,Search,61.0,0
M80494,C10868,2025-08-29,Analytics Launch,Event,53.6,0
M80495,C10008,2026-06-19,Retention Outreach,Event,100.0,1
M80496,C10754,2025-09-11,Year-End Upgrade,LinkedIn,37.9,0
M80497,C10158,2026-03-15,Driver Safety,Email,47.6,0
M80498,C10485,2025-12-02,Driver Safety,Search,76.2,0
M80499,C10918,2025-10-07,Retention Outreach,Webinar,41.7,0
M80500,C10195,2025-10-09,Analytics Launch,Partner,40.2,0
M80501,C10562,2025-05-26,Year-End Upgrade,Webinar,84.6,0
M80502,C10777,2026-03-04,Retention Outreach,Webinar,74.1,0
M80503,C10480,2025-11-01,Fleet Efficiency Q1,Email,71.7,1
M80504,C10078,2025-01-01,Analytics Launch,Partner,65.6,1
M80505,C10065,2025-08-19,Year-End Upgrade,LinkedIn,48.2,0
M80506,C10517,2025-08-24,Driver Safety,Search,56.9,1
M80507,C10025,2026-05-29,Retention Outreach,Search,60.4,0
M80508,C10015,2025-09-05,Retention Outreach,Email,78.9,0
M80509,C10953,2025-11-26,Retention Outreach,Search,70.5,0
M80510,C10532,2025-02-18,Fleet Efficiency Q1,Search,43.4,0
M80511,C10473,2025-08-16,Partner Referral,LinkedIn,77.8,0
M80512,C10100,2025-06-14,Year-End Upgrade,LinkedIn,28.4,1
M80513,C10786,2025-10-17,Year-End Upgrade,Email,55.6,0
M80514,C10510,2026-06-06,Driver Safety,Event,39.2,0
M80515,C10220,2026-06-26,Analytics Launch,LinkedIn,44.9,0
M80516,C10752,2025-06-16,Retention Outreach,Event,100.0,0
M80517,C10237,2025-12-22,Driver Safety,Event,32.6,0
M80518,C10503,2026-07-08,Analytics Launch,Search,45.6,0
M80519,C10560,2025-05-13,Analytics Launch,Partner,72.2,0
M80520,C10279,2025-09-12,Analytics Launch,LinkedIn,52.6,0
M80521,C10876,2025-10-18,Driver Safety,LinkedIn,65.1,0
M80522,C10703,2025-01-02,Fleet Efficiency Q1,Event,90.6,1
M80523,C10288,2025-09-28,Partner Referral,Webinar,75.1,0
M80524,C10156,2025-03-12,Analytics Launch,Partner,52.6,1
M80525,C10328,2025-06-30,Partner Referral,Event,59.3,1
M80526,C10465,2025-03-08,Analytics Launch,Email,72.6,0
M80527,C10550,2026-03-04,Year-End Upgrade,LinkedIn,74.7,0
M80528,C10400,2026-04-30,Driver Safety,Event,62.4,0
M80529,C10040,2025-06-05,Analytics Launch,Email,69.2,1
M80530,C10676,2025-01-24,Partner Referral,Search,69.2,0
M80531,C10378,2025-10-13,Driver Safety,Email,60.2,0
M80532,C10335,2025-03-08,Fleet Efficiency Q1,LinkedIn,49.9,0
M80533,C10556,2025-09-13,Fleet Efficiency Q1,LinkedIn,76.9,0
M80534,C10835,2025-11-12,Analytics Launch,LinkedIn,67.8,0
M80535,C10004,2025-09-28,Driver Safety,Partner,20.4,0
M80536,C10960,2025-10-30,Partner Referral,LinkedIn,45.5,0
M80537,C10638,2025-11-25,Driver Safety,Partner,52.4,1
M80538,C10546,2025-04-05,Year-End Upgrade,Event,58.0,0
M80539,C10050,2026-02-01,Driver Safety,Webinar,86.1,0
M80540,C10711,2026-01-23,Year-End Upgrade,Webinar,100.0,1
M80541,C10719,2025-03-24,Partner Referral,Search,12.8,0
M80542,C10560,2025-09-09,Partner Referral,Partner,68.1,1
M80543,C10801,2025-06-17,Partner Referral,Partner,63.4,0
M80544,C10838,2025-08-19,Analytics Launch,Event,58.4,0
M80545,C10838,2026-03-25,Year-End Upgrade,LinkedIn,72.9,0
M80546,C10326,2025-12-12,Driver Safety,Partner,65.0,0
M80547,C10673,2026-06-11,Retention Outreach,Email,54.8,1
M80548,C10057,2025-11-27,Partner Referral,Search,62.6,0
M80549,C10561,2025-01-26,Retention Outreach,Email,73.1,0
M80550,C10145,2026-02-17,Partner Referral,Webinar,71.2,0
M80551,C10307,2025-02-12,Fleet Efficiency Q1,Event,65.8,0
M80552,C10676,2025-07-18,Driver Safety,Partner,50.3,0
M80553,C10424,2026-06-26,Year-End Upgrade,Partner,100.0,0
M80554,C10863,2026-07-29,Driver Safety,Webinar,69.2,1
M80555,C10087,2025-03-27,Retention Outreach,Webinar,77.2,0
M80556,C10971,2026-07-26,Year-End Upgrade,Email,51.8,1
M80557,C10707,2026-07-22,Driver Safety,Partner,65.8,0
M80558,C10430,2026-05-25,Analytics Launch,Partner,65.6,0
M80559,C10024,2026-04-26,Year-End Upgrade,Email,23.8,0
M80560,C10041,2025-02-13,Fleet Efficiency Q1,Webinar,47.7,0
M80561,C10413,2025-03-12,Retention Outreach,Search,47.3,0
M80562,C10572,2025-12-22,Retention Outreach,Webinar,50.0,1
M80563,C10506,2025-03-01,Partner Referral,Partner,40.6,0
M80564,C10297,2025-05-26,Driver Safety,LinkedIn,62.9,0
M80565,C10650,2026-07-21,Partner Referral,Event,89.9,0
M80566,C10614,2026-06-13,Driver Safety,Search,64.6,0
M80567,C10343,2025-05-28,Retention Outreach,Webinar,38.4,0
M80568,C10325,2025-11-09,Retention Outreach,Email,41.4,0
M80569,C10442,2025-11-09,Driver Safety,Email,54.5,0
M80570,C10743,2025-06-02,Driver Safety,LinkedIn,33.7,1
M80571,C10587,2025-05-18,Partner Referral,Event,68.1,0
M80572,C10127,2025-09-11,Driver Safety,LinkedIn,89.1,0
M80573,C10923,2025-12-15,Partner Referral,Search,50.5,1
M80574,C10202,2026-04-12,Partner Referral,Event,63.5,0
M80575,C10671,2026-05-03,Driver Safety,LinkedIn,53.4,0
M80576,C10016,2025-01-12,Partner Referral,Partner,49.4,0
M80577,C10254,2026-01-17,Fleet Efficiency Q1,Email,65.8,0
M80578,C10564,2025-12-24,Year-End Upgrade,Email,48.7,0
M80579,C10847,2025-01-28,Driver Safety,Email,45.8,0
M80580,C10562,2026-04-30,Fleet Efficiency Q1,Email,29.6,0
M80581,C10055,2025-12-12,Partner Referral,Webinar,63.3,0
M80582,C10955,2026-02-21,Fleet Efficiency Q1,Email,83.3,0
M80583,C10272,2026-01-19,Partner Referral,Webinar,76.1,0
M80584,C10364,2025-07-13,Fleet Efficiency Q1,Webinar,91.8,0
M80585,C10108,2025-04-27,Retention Outreach,LinkedIn,48.5,1
M80586,C10696,2025-08-08,Retention Outreach,Email,79.0,0
M80587,C10447,2026-03-19,Driver Safety,Email,39.9,1
M80588,C10219,2026-01-05,Year-End Upgrade,Email,76.2,1
M80589,C10636,2025-12-30,Analytics Launch,Webinar,94.9,0
M80590,C10195,2025-03-17,Analytics Launch,Event,72.0,0
M80591,C10530,2025-01-06,Fleet Efficiency Q1,Search,95.2,0
M80592,C10663,2026-01-23,Retention Outreach,Webinar,50.0,0
M80593,C10811,2026-07-06,Retention Outreach,LinkedIn,59.3,0
M80594,C10694,2025-07-27,Year-End Upgrade,Email,43.7,0
M80595,C10567,2025-09-16,Analytics Launch,LinkedIn,62.7,0
M80596,C10033,2026-07-10,Driver Safety,Search,67.4,1
M80597,C10232,2025-05-15,Partner Referral,Event,62.5,0
M80598,C10577,2025-10-30,Analytics Launch,LinkedIn,52.5,0
M80599,C10536,2025-02-19,Driver Safety,Event,52.2,0
M80600,C10533,2025-06-02,Driver Safety,Webinar,68.9,0
M80601,C10735,2025-08-06,Fleet Efficiency Q1,Search,58.8,0
M80602,C10904,2026-02-02,Partner Referral,Webinar,39.0,0
M80603,C10502,2025-06-28,Fleet Efficiency Q1,Partner,24.1,0
M80604,C10134,2025-09-25,Analytics Launch,Partner,50.1,0
M80605,C10441,2025-06-22,Partner Referral,Event,34.4,1
M80606,C10252,2025-03-23,Fleet Efficiency Q1,Webinar,45.3,0
M80607,C10529,2026-04-06,Fleet Efficiency Q1,Email,53.5,1
M80608,C10589,2026-01-26,Partner Referral,Search,59.1,0
M80609,C10548,2026-01-10,Partner Referral,Event,48.7,1
M80610,C10581,2025-12-05,Fleet Efficiency Q1,LinkedIn,100.0,0
M80611,C10310,2025-03-19,Driver Safety,Search,36.8,0
M80612,C10176,2025-10-26,Analytics Launch,Webinar,86.2,0
M80613,C10854,2026-02-15,Analytics Launch,Webinar,58.7,0
M80614,C10401,2025-10-14,Analytics Launch,Event,48.8,0
M80615,C10207,2026-02-24,Driver Safety,Webinar,73.8,0
M80616,C10995,2025-07-10,Analytics Launch,Email,52.9,0
M80617,C10032,2025-10-26,Fleet Efficiency Q1,LinkedIn,45.9,0
M80618,C10346,2025-08-09,Retention Outreach,Webinar,97.8,0
M80619,C10741,2026-08-01,Analytics Launch,Partner,18.1,0
M80620,C10410,2025-04-14,Year-End Upgrade,Webinar,57.1,0
M80621,C10842,2025-06-14,Year-End Upgrade,Partner,65.8,0
M80622,C10358,2026-01-31,Year-End Upgrade,LinkedIn,90.2,0
M80623,C10642,2025-02-03,Year-End Upgrade,Email,54.0,0
M80624,C10427,2025-10-25,Driver Safety,Event,100.0,0
M80625,C10468,2025-01-17,Analytics Launch,Webinar,77.2,0
M80626,C10497,2025-11-03,Driver Safety,Partner,14.7,0
M80627,C10975,2025-07-05,Driver Safety,Event,32.9,1
M80628,C10759,2025-04-21,Retention Outreach,LinkedIn,66.7,0
M80629,C10370,2025-10-16,Analytics Launch,Event,39.1,0
M80630,C10416,2025-07-12,Retention Outreach,Search,73.0,0
M80631,C10405,2025-02-15,Analytics Launch,Webinar,52.9,0
M80632,C10736,2025-11-05,Partner Referral,Search,38.1,1
M80633,C10591,2025-11-25,Fleet Efficiency Q1,LinkedIn,42.7,0
M80634,C10534,2026-01-19,Analytics Launch,Event,79.0,0
M80635,C10430,2026-06-07,Year-End Upgrade,Search,21.5,0
M80636,C10398,2026-02-12,Fleet Efficiency Q1,Email,82.9,0
M80637,C10555,2026-04-08,Fleet Efficiency Q1,Email,83.5,0
M80638,C10831,2026-01-11,Driver Safety,Event,55.4,0
M80639,C10966,2026-01-26,Fleet Efficiency Q1,Partner,33.9,0
M80640,C10060,2026-04-06,Year-End Upgrade,Webinar,73.1,1
M80641,C10237,2026-01-19,Fleet Efficiency Q1,Partner,52.3,0
M80642,C10685,2025-10-19,Partner Referral,Webinar,31.7,0
M80643,C10148,2026-02-28,Analytics Launch,Event,100.0,1
M80644,C10610,2026-07-14,Retention Outreach,Email,44.3,0
M80645,C10423,2025-10-14,Fleet Efficiency Q1,Email,32.6,0
M80646,C10190,2025-05-12,Fleet Efficiency Q1,Partner,67.7,0
M80647,C10503,2025-08-22,Retention Outreach,Event,60.6,0
M80648,C10509,2025-01-09,Year-End Upgrade,Webinar,91.7,0
M80649,C10713,2025-06-27,Partner Referral,Event,54.4,1
